NatEmis,DataYear,Province,ProvinceCD,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
440506229,2025,FS,4,NAMPO AS/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,AGRICULTURAL,FEZILE DABI,6,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),125221,822069,3202028,,26.65675452,-27.25109402,Moqhaka,Moqhaka,8,41104001,Bothaville NU,MOFOKENG (Acting),99,99,BOTHAVILLE,"Rustig, , , BOTHAVILLE, 9660","PO BOX 345, Bothaville, 9660",,,Yes,ABCDE,Q1,99,99,,No Fee,Urban,99,FS,NOT MOVED,440506229,440506229,844,32
440506333,2025,FS,4,KLEINBROEK PF/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,6,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),125514,194108,,,26.60414227,-27.21358604,Moqhaka,Moqhaka,8,41704005,Viljoenskroon NU,GROBLER,Dist. Bothaville,Dist. Bothaville,BOTHAVILLE,"Kleinbroekmansfontein (plaas), Dist. Bothaville, Dist. Bothaville, BOTHAVILLE, 9660","PO BOX 51, Bothaville, 9660",,,Yes,ABCDE,Q4,99,99,,Fee Charging,Rural,99,FS,NOT MOVED,440506333,440506333,72,9
441610028,2025,FS,4,GUGULETHU P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129204,822388,,,28.50676582,-27.26636635,Mafube,Mafube,5,42002000,Frankfort SP,SEGOPA,NAMAHADI,NAMAHADI,FRANKFORT,"1216 Mapohoshe Street, NAMAHADI , NAMAHADI , FRANKFORT, 9830","PO BOX 19, , 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610028,441610028,525,21
441610084,2025,FS,4,FALESIZWE S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129203,822383,3201007,,28.5089908,-27.26159266,Mafube,Mafube,7,42005000,Namahadi SP,MOTLOUNG,NAMAHADI,NAMAHADI,FRANKFORT,"1221 MABOYA STREET, NAMAHADI, NAMAHADI, FRANKFORT, 9830","P O Box 550, FRANKFORT, 9830",,,Yes,ABCDE,Q1,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610084,441610084,1338,42
441610088,2025,FS,4,RETSHEDISITSWE S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129220,822451,3201026,,28.62761994,-27.02174318,Mafube,Mafube,3,42007000,Qalabotjha SP,MORAKE,Qalabotjha Loc,Qalabotjha Loc,VILLIERS,"1538 Ext 4 , Qalabotjha Loc , Qalabotjha Loc , VILLIERS, 9840","PO BOX 178, Qalabotjha Location , 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610088,441610088,829,26
441610173,2025,FS,4,QALABOTJHA S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129217,822450,3201023,,28.62277888,-27.01609781,Mafube,Mafube,4,42008000,Villiers SP,MASILO,Qalabotjha,Qalabotjha,VILLIERS,"794 Wetsie Street, Qalabotjha, Qalabotjha, VILLIERS, 9840","WETSIE STREET 794, Villiers, 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610173,441610173,1185,39
441610193,2025,FS,4,REFENG THABO S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129219,822384,3201024,,28.51709618,-27.54972665,Mafube,Mafube,8,42003000,Mafahlaneng SP,TSIE (Deputy),Mafahlaneng,Mafahlaneng,TWEELING,"702 Mokoena Street, Mafahlaneng, Mafahlaneng, TWEELING, 9820","PO BOX 106, Mafahlaneng, 9820",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610193,441610193,750,23
441610200,2025,FS,4,MFUNDO THUTO S/S,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129214,822385,3201016,,28.51736419,-27.25134729,Mafube,Mafube,4,42004001,Frankfort NU,MOTAUNG,Namahadi,Namahadi,FRANKFORT,"4768 Seabata Section, Namahadi, Namahadi, FRANKFORT, 9830","PO BOX 576, Namahadi, 9830",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610200,441610200,1071,33
441610202,2025,FS,4,PHOMELLO P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129511,822454,,,28.61831377,-27.01991421,Mafube,Mafube,4,42007000,Qalabotjha SP,MOTLOUNG,Qalabotjha,Qalabotjha,VILLIERS,"2087 Tsolo Street , Qalabotjha, Qalabotjha, VILLIERS, 9840","PO BOX 233, , 9840",,,Yes,ABCDE,Q2,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610202,441610202,1002,29
441610208,2025,FS,4,THUTO-KE-TSELA P/S,OPEN,PUBLIC,ORDINARY SCHOOL,PRIMARY SCHOOL,ORDINARY,FEZILE DABI,1,STATE,STATE,DEPARTMENT OF EDUCATION & TRAINING(DET),129518,822390,,,28.51129049,-27.25811256,Mafube,Mafube,5,42005000,Namahadi SP,MOKOENA (Acting),Namahadi,Namahadi,FRANKFORT,"2333 Sunrise Section, Namahadi, Namahadi, FRANKFORT, 9830","PO BOX 180, , 9830",,,Yes,ABCDE,Q3,99,99,,No Fee,Urban,99,FS,NOT MOVED,441610208,441610208,1403,33
